Timestamp,Exchange,Symbol,LTP,Open,High,Low,Close,Volume,VWAP,Best_Bid,Bid_Qty,Best_Ask,Ask_Qty,OI
2026-04-10T09:31:56.540,NC,JSWINFRA,260.73,259.0,261.37,258.45,256.7,181888,260.07,260.72,41,260.75,4112,
2026-04-10T09:31:57.706,NC,JSWINFRA,260.23,259.0,261.37,258.45,256.7,195758,260.11,260.01,187,260.23,107,
2026-04-10T09:32:05.158,NC,JSWINFRA,260.07,259.0,261.37,258.45,256.7,196089,260.11,260.01,102,260.26,67,
2026-04-10T09:32:12.883,NC,JSWINFRA,260.24,259.0,261.37,258.45,256.7,196213,260.11,260.08,29,260.27,29,
2026-04-10T09:32:20.508,NC,JSWINFRA,260.29,259.0,261.37,258.45,256.7,196514,260.11,260.07,20,260.28,45,
2026-04-10T09:32:28.102,NC,JSWINFRA,260.2,259.0,261.37,258.45,256.7,202664,260.11,259.89,76,260.19,55,
2026-04-10T09:32:35.593,NC,JSWINFRA,260.2,259.0,261.37,258.45,256.7,202765,260.11,260.0,22,260.2,159,
2026-04-10T09:32:43.223,NC,JSWINFRA,260.43,259.0,261.37,258.45,256.7,203074,260.11,260.21,97,260.44,76,
2026-04-10T09:32:50.945,NC,JSWINFRA,260.2,259.0,261.37,258.45,256.7,203118,260.11,260.2,102,260.42,76,
2026-04-10T09:32:58.250,NC,JSWINFRA,260.44,259.0,261.37,258.45,256.7,203710,260.11,260.18,84,260.44,71,
2026-04-10T09:33:05.656,NC,JSWINFRA,260.44,259.0,261.37,258.45,256.7,203861,260.11,260.03,30,260.18,1,
2026-04-10T09:33:13.396,NC,JSWINFRA,260.18,259.0,261.37,258.45,256.7,203866,260.11,260.1,560,260.26,183,
2026-04-10T09:33:21.008,NC,JSWINFRA,260.1,259.0,261.37,258.45,256.7,204049,260.11,260.1,509,260.24,84,
2026-04-10T09:33:28.616,NC,JSWINFRA,260.02,259.0,261.37,258.45,256.7,207027,260.11,260.02,64,260.18,41,
2026-04-10T09:33:35.827,NC,JSWINFRA,260.18,259.0,261.37,258.45,256.7,207029,260.11,260.06,22,260.18,39,
2026-04-10T09:33:43.020,NC,JSWINFRA,260.18,259.0,261.37,258.45,256.7,207233,260.11,260.07,9,260.18,35,
2026-04-10T09:33:50.428,NC,JSWINFRA,260.18,259.0,261.37,258.45,256.7,207818,260.11,260.19,82,260.36,27,
2026-04-10T09:33:58.163,NC,JSWINFRA,260.44,259.0,261.37,258.45,256.7,207827,260.11,260.28,12,260.44,59,
2026-04-10T09:34:05.884,NC,JSWINFRA,260.5,259.0,261.37,258.45,256.7,210471,260.11,260.25,107,260.45,102,
2026-04-10T09:34:13.359,NC,JSWINFRA,260.45,259.0,261.37,258.45,256.7,210491,260.11,260.25,107,260.45,82,
2026-04-10T09:34:20.976,NC,JSWINFRA,260.25,259.0,261.37,258.45,256.7,210500,260.11,260.26,85,260.45,82,
2026-04-10T09:34:28.387,NC,JSWINFRA,260.48,259.0,261.37,258.45,256.7,213028,260.12,260.25,105,260.47,168,
2026-04-10T09:34:36.092,NC,JSWINFRA,260.42,259.0,261.37,258.45,256.7,213095,260.12,260.26,78,260.42,63,
2026-04-10T09:34:43.531,NC,JSWINFRA,260.26,259.0,261.37,258.45,256.7,213138,260.12,260.26,7,260.42,59,
2026-04-10T09:34:51.011,NC,JSWINFRA,260.4,259.0,261.37,258.45,256.7,214584,260.12,260.26,43,260.4,13,
2026-04-10T09:34:58.542,NC,JSWINFRA,260.41,259.0,261.37,258.45,256.7,214988,260.12,260.26,93,260.4,7,
2026-04-10T09:35:06.134,NC,JSWINFRA,260.41,259.0,261.37,258.45,256.7,215296,260.12,260.27,1,260.39,34,
2026-04-10T09:35:13.863,NC,JSWINFRA,260.27,259.0,261.37,258.45,256.7,215842,260.12,260.26,50,260.37,294,
2026-04-10T09:35:21.560,NC,JSWINFRA,260.09,259.0,261.37,258.45,256.7,217103,260.12,260.09,46,260.2,297,
2026-04-10T09:35:29.318,NC,JSWINFRA,260.18,259.0,261.37,258.45,256.7,217246,260.12,260.1,1001,260.19,37,
2026-04-10T09:35:36.983,NC,JSWINFRA,259.8,259.0,261.37,258.45,256.7,218838,260.12,259.8,61,259.95,122,
2026-04-10T09:35:44.602,NC,JSWINFRA,259.8,259.0,261.37,258.45,256.7,219246,260.12,259.8,53,259.99,23,
2026-04-10T09:35:52.011,NC,JSWINFRA,259.8,259.0,261.37,258.45,256.7,219397,260.12,259.8,364,259.98,157,
2026-04-10T09:35:59.333,NC,JSWINFRA,259.97,259.0,261.37,258.45,256.7,219431,260.12,259.81,25,259.97,170,
2026-04-10T09:36:06.659,NC,JSWINFRA,259.95,259.0,261.37,258.45,256.7,220000,260.12,259.81,23,259.97,1,
2026-04-10T09:36:21.262,NC,JSWINFRA,259.95,259.0,261.37,258.45,256.7,220242,260.12,259.83,38,259.95,347,
2026-04-10T09:36:35.552,NC,JSWINFRA,260.08,259.0,261.37,258.45,256.7,221610,260.12,259.9,38,260.09,87,
2026-04-10T09:36:42.763,NC,JSWINFRA,260.09,259.0,261.37,258.45,256.7,221614,260.12,259.95,11,260.06,1,
2026-04-10T09:36:49.879,NC,JSWINFRA,259.83,259.0,261.37,258.45,256.7,221913,260.12,259.86,23,260.01,90,
2026-04-10T09:36:56.980,NC,JSWINFRA,259.97,259.0,261.37,258.45,256.7,222339,260.12,259.81,15,259.92,3,
2026-04-10T09:37:03.884,NC,JSWINFRA,259.81,259.0,261.37,258.45,256.7,222340,260.12,259.81,34,259.98,91,
2026-04-10T09:37:10.899,NC,JSWINFRA,260.0,259.0,261.37,258.45,256.7,222601,260.12,259.81,158,260.02,69,
2026-04-10T09:37:18.002,NC,JSWINFRA,260.06,259.0,261.37,258.45,256.7,222602,260.12,260.0,1,260.09,36,
2026-04-10T09:37:25.410,NC,JSWINFRA,260.17,259.0,261.37,258.45,256.7,222752,260.12,260.01,32,260.18,90,
2026-04-10T09:37:32.749,NC,JSWINFRA,260.06,259.0,261.37,258.45,256.7,222873,260.12,260.02,31,260.06,109,
2026-04-10T09:37:40.160,NC,JSWINFRA,260.06,259.0,261.37,258.45,256.7,222982,260.12,260.1,12,260.18,90,
2026-04-10T09:37:47.267,NC,JSWINFRA,260.26,259.0,261.37,258.45,256.7,223144,260.12,260.18,39,260.36,213,
2026-04-10T09:37:54.270,NC,JSWINFRA,260.26,259.0,261.37,258.45,256.7,223346,260.12,260.3,1040,260.38,38,
2026-04-10T09:37:54.270,NC,JSWINFRA,260.26,259.0,261.37,258.45,256.7,223346,260.12,260.3,1040,260.38,38,
2026-04-10T09:38:01.276,NC,JSWINFRA,260.45,259.0,261.37,258.45,256.7,223356,260.12,260.31,38,260.44,32,
2026-04-10T09:38:08.181,NC,JSWINFRA,260.52,259.0,261.37,258.45,256.7,223780,260.12,260.34,69,260.5,32,
2026-04-10T09:38:15.506,NC,JSWINFRA,260.63,259.0,261.37,258.45,256.7,223886,260.12,260.52,263,260.64,34,
2026-04-10T09:38:22.716,NC,JSWINFRA,260.75,259.0,261.37,258.45,256.7,224822,260.12,260.6,121,260.72,89,
2026-04-10T09:38:29.513,NC,JSWINFRA,260.75,259.0,261.37,258.45,256.7,224998,260.12,260.64,93,260.75,4038,
2026-04-10T09:38:36.624,NC,JSWINFRA,260.75,259.0,261.37,258.45,256.7,225073,260.12,260.65,152,260.75,4025,
