Timestamp,Exchange,Symbol,LTP,Open,High,Low,Close,Volume,VWAP,Best_Bid,Bid_Qty,Best_Ask,Ask_Qty,OI
2026-04-10T09:31:56.540,NC,NMDC,84.86,85.0,86.3,84.75,84.44,6066549,85.55,84.86,147,84.9,1686,
2026-04-10T09:31:57.318,NC,NMDC,84.91,85.0,86.3,84.75,84.44,6067962,85.55,84.88,1624,84.91,1081,
2026-04-10T09:32:04.734,NC,NMDC,84.88,85.0,86.3,84.75,84.44,6074817,85.55,84.86,11254,84.9,4422,
2026-04-10T09:32:12.486,NC,NMDC,84.9,85.0,86.3,84.75,84.44,6078091,85.55,84.88,1253,84.9,183,
2026-04-10T09:32:20.083,NC,NMDC,84.91,85.0,86.3,84.75,84.44,6082040,85.55,84.88,25,84.91,617,
2026-04-10T09:32:27.609,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6090489,85.54,84.88,4372,84.92,3122,
2026-04-10T09:32:35.100,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6102273,85.54,84.9,3303,84.92,3982,
2026-04-10T09:32:42.713,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6108062,85.54,84.91,1124,84.92,1359,
2026-04-10T09:32:50.437,NC,NMDC,84.93,85.0,86.3,84.75,84.44,6131580,85.54,84.91,3754,84.95,1674,
2026-04-10T09:32:57.850,NC,NMDC,84.93,85.0,86.3,84.75,84.44,6138641,85.54,84.93,1806,84.96,412,
2026-04-10T09:33:05.255,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6176176,85.54,84.88,398,84.92,1163,
2026-04-10T09:33:12.974,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6177706,85.54,84.89,9,84.92,467,
2026-04-10T09:33:20.578,NC,NMDC,84.92,85.0,86.3,84.75,84.44,6190907,85.53,84.91,4094,84.94,372,
2026-04-10T09:33:28.197,NC,NMDC,84.94,85.0,86.3,84.75,84.44,6195983,85.53,84.94,2527,84.97,20,
2026-04-10T09:33:35.409,NC,NMDC,85.0,85.0,86.3,84.75,84.44,6201168,85.53,84.94,1856,84.98,152,
2026-04-10T09:33:42.658,NC,NMDC,84.99,85.0,86.3,84.75,84.44,6202414,85.53,84.95,4183,84.99,537,
2026-04-10T09:33:50.040,NC,NMDC,84.98,85.0,86.3,84.75,84.44,6205403,85.53,84.95,1174,84.98,157,
2026-04-10T09:33:57.746,NC,NMDC,84.97,85.0,86.3,84.75,84.44,6209241,85.53,84.97,699,85.0,15325,
2026-04-10T09:34:05.357,NC,NMDC,84.97,85.0,86.3,84.75,84.44,6210555,85.53,84.97,2302,84.99,10,
2026-04-10T09:34:12.960,NC,NMDC,84.97,85.0,86.3,84.75,84.44,6226871,85.53,84.95,519,84.99,1868,
2026-04-10T09:34:20.601,NC,NMDC,84.95,85.0,86.3,84.75,84.44,6234752,85.53,84.95,358,84.99,1988,
2026-04-10T09:34:27.989,NC,NMDC,84.99,85.0,86.3,84.75,84.44,6237835,85.53,84.95,1709,84.99,935,
2026-04-10T09:34:35.691,NC,NMDC,84.99,85.0,86.3,84.75,84.44,6238633,85.53,84.96,3422,84.99,9852,
2026-04-10T09:34:43.203,NC,NMDC,84.96,85.0,86.3,84.75,84.44,6245257,85.53,84.96,4432,84.99,4229,
2026-04-10T09:34:50.613,NC,NMDC,84.95,85.0,86.3,84.75,84.44,6271047,85.53,84.93,546,84.95,6740,
2026-04-10T09:34:58.131,NC,NMDC,84.85,85.0,86.3,84.75,84.44,6320173,85.52,84.86,106,84.9,712,
2026-04-10T09:35:05.644,NC,NMDC,84.9,85.0,86.3,84.75,84.44,6321795,85.52,84.87,708,84.9,5754,
2026-04-10T09:35:13.346,NC,NMDC,84.87,85.0,86.3,84.75,84.44,6330590,85.52,84.83,3406,84.87,1094,
2026-04-10T09:35:21.151,NC,NMDC,84.85,85.0,86.3,84.75,84.44,6335098,85.52,84.83,251,84.85,7599,
2026-04-10T09:35:28.775,NC,NMDC,84.8,85.0,86.3,84.75,84.44,6350106,85.52,84.78,1654,84.8,2187,
2026-04-10T09:35:36.590,NC,NMDC,84.79,85.0,86.3,84.75,84.44,6353775,85.52,84.75,13409,84.79,232,
2026-04-10T09:35:44.089,NC,NMDC,84.8,85.0,86.3,84.75,84.44,6356343,85.52,84.77,961,84.8,2312,
2026-04-10T09:35:51.513,NC,NMDC,84.77,85.0,86.3,84.75,84.44,6369865,85.52,84.75,11037,84.77,143,
2026-04-10T09:35:58.913,NC,NMDC,84.72,85.0,86.3,84.7,84.44,6383769,85.51,84.75,20,84.76,975,
2026-04-10T09:36:06.124,NC,NMDC,84.77,85.0,86.3,84.7,84.44,6413717,85.51,84.76,637,84.77,107,
2026-04-10T09:36:13.346,NC,NMDC,84.79,85.0,86.3,84.7,84.44,6440625,85.51,84.77,3443,84.79,409,
2026-04-10T09:36:20.855,NC,NMDC,84.76,85.0,86.3,84.7,84.44,6445006,85.51,84.75,55,84.77,1027,
2026-04-10T09:36:28.151,NC,NMDC,84.77,85.0,86.3,84.7,84.44,6447311,85.51,84.75,749,84.78,54,
2026-04-10T09:36:35.082,NC,NMDC,84.77,85.0,86.3,84.7,84.44,6449291,85.51,84.77,1149,84.8,211,
2026-04-10T09:36:42.263,NC,NMDC,84.78,85.0,86.3,84.7,84.44,6461698,85.51,84.77,178,84.78,119,
2026-04-10T09:36:49.476,NC,NMDC,84.77,85.0,86.3,84.7,84.44,6463311,85.51,84.77,222,84.78,200,
2026-04-10T09:36:56.583,NC,NMDC,84.82,85.0,86.3,84.7,84.44,6464012,85.51,84.78,1000,84.8,509,
2026-04-10T09:37:03.485,NC,NMDC,84.81,85.0,86.3,84.7,84.44,6464407,85.51,84.78,1185,84.81,1298,
2026-04-10T09:37:10.400,NC,NMDC,84.81,85.0,86.3,84.7,84.44,6465311,85.51,84.79,19,84.81,569,
2026-04-10T09:37:17.605,NC,NMDC,84.79,85.0,86.3,84.7,84.44,6465669,85.51,84.79,934,84.8,6648,
2026-04-10T09:37:24.916,NC,NMDC,84.8,85.0,86.3,84.7,84.44,6468613,85.5,84.78,712,84.8,6077,
2026-04-10T09:37:32.244,NC,NMDC,84.8,85.0,86.3,84.7,84.44,6471488,85.5,84.78,536,84.8,3743,
2026-04-10T09:37:39.657,NC,NMDC,84.79,85.0,86.3,84.7,84.44,6473769,85.5,84.79,3198,84.8,6707,
2026-04-10T09:37:46.852,NC,NMDC,84.8,85.0,86.3,84.7,84.44,6481410,85.5,84.8,5164,84.83,151,
